Site,Col_Company,Col_Recruit,Col_detail,Col_url
Saramin,쿠팡(주),[쿠팡] 셀렉션 데이터 분석 및 기획 (경력 3년 이상),"서울송파구, 경력 3~6년, 대졸↑, 정규직",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54519503&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=139a7593-e979-4209-8f53-b66fd62a2dfc
Saramin,(주)기어세컨드,데이터 분석가,"서울성동구, 경력무관, 학력무관, 정규직",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54426388&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=139a7593-e979-4209-8f53-b66fd62a2dfc
Saramin,(주)심네트,"국방분야 전문 분석관 모집(IT, 데이터 분석)","서울용산구, 신입, 대졸↑, 정규직",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54384126&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=139a7593-e979-4209-8f53-b66fd62a2dfc
Saramin,(주)오픈메이트,[오픈메이트] 데이터 분석 및 모델 개발 신입(인턴),"서울중구, 신입, 초대졸↑, 정규직·인턴직",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54324540&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=139a7593-e979-4209-8f53-b66fd62a2dfc
Saramin,쿠팡(주),[쿠팡] CS 데이터 분석 담당자,"서울송파구, 경력2년↑, 대졸↑, 정규직",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54348752&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=139a7593-e979-4209-8f53-b66fd62a2dfc
Saramin,씨제이프레시웨이(주),[CJ프레시웨이] SCM 데이터 분석/시각화 경력사원 모집,"서울마포구, 경력5년↑, 대졸↑, 정규직",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54463382&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=139a7593-e979-4209-8f53-b66fd62a2dfc
Saramin,연세대학교의료원 산학협력단,연세대학교 의과대학 예방의학교실 데이터 분석연구원,"서울서대문구, 경력, 석사↑, 기간제·계약직",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54378744&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=139a7593-e979-4209-8f53-b66fd62a2dfc
Saramin,(주)이지수능교육,기업부설연구소 AI 데이터 분석가,"서울서초구, 경력2년↑, 대졸↑, 정규직",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54004233&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=139a7593-e979-4209-8f53-b66fd62a2dfc
Saramin,(주)아이메디신,AI 기반 의료 데이터 분석 연구원 (석사 이상),"서울강남구, 경력무관, 학력무관, 정규직",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54519931&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=139a7593-e979-4209-8f53-b66fd62a2dfc
Saramin,콘센트릭스서비스코리아(유),데이터 분석(태깅)/기획,"서울강남구, 경력 1~10년, 학력무관, 정규직",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54059278&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=139a7593-e979-4209-8f53-b66fd62a2dfc
